Illyria ,/n./@伊利里亞;
tobacco ,/n./@煙草;
tornado ,/n./@旋風;,/n./@龍卷風;
volcano ,/n./@火山;
Romance ,/n./@羅曼語;,/n./@拉丁系語言;,/adj./@羅曼語的;,/adj./@拉丁系語言的;
cognate ,/adj./@同源的;,/adj./@同根的;,/adj./@同系的;,/n./@同源詞;,/n./@同根詞;
cockade ,/n./@帽徽;,/n./@帽章;,/n./@帽上的花結;
collage ,/n./@拼貼畫;
collate ,/v./@整理;,/v./@核對;,/v./@校對;
compare ,/v./@比較;
concave ,/adj./@凹的;,/adj./@凹面的;
cottage ,/n./@小屋;,/n./@村舍;
forsake ,/v./@拋棄;,/v./@遺棄;
hostage ,/n./@人質;
montage ,/n./@蒙太奇;
notable ,/adj./@値得註意的;,/n./@名人;
poacher ,/n./@偷獵者;
profane ,/adj./@褻瀆的;,/vt./@褻瀆;,/adj./@世俗的;
postage ,/n./@郵資;,/n./@郵費;
romance ,/n./@浪漫;,/n./@浪漫氣氛;,/n./@風流韻事;
storage ,/n./@存儲;,/n./@貯藏;
tonnage ,/n./@噸位;,/n./@總噸數;
voltage ,/n./@電壓;
contain ,/v./@包括;
opacity ,/n./@不透明;,/n./@不傳導;
prosaic ,/adj./@散文的;,/adj./@散文體的;,/adj./@乏味的;,/adj./@平淡無奇的;,/adj./@無新意的;
organic ,/adj./@有機的;
roaming ,/v./@漫步;
somatic ,/adj./@軀體的;,/adj./@身體的;,/adj./@肉体的;,/adj./@細胞體的;
vocalic ,/adj./@元音的;
booklet ,/n./@小冊子;
boredom ,/n./@厭倦;
obscene ,/adj./@淫穢的;,/adj./@猥褻的;
observe ,/v./@觀察;,/v./@遵守;
college ,/n./@大學;,/n./@學院;
colonel ,/n./@上校;,/n./@陸軍上校;
compose ,/v./@組成;,/v./@譜@曲;
compete ,/v./@競爭;,/v./@對抗;,/v./@比賽;
concede ,/v./@讓步;,/v./@認輸;,/v./@讓予;
console ,/n./@控制臺;
connote ,/v./@意味著;
convene ,/vi./@召开;,/vt./@召开;
corrode ,/vt./@腐蚀;,/vt./@锈蚀;,/vt./@侵蚀;
crooked ,/adj./@彎曲的;,/adj./@歪的;,/adj./@變形的;,/adj./@扭曲的;,/adj./@不正當的;,/adj./@欺詐的;,/adj./@弯腰驼背的;,/adj./@歪斜的;
offence ,/redirected./@target="offense";
offense ,/n./@冒犯;,/n./@進攻;,/n./@犯法;,/n./@犯罪;,/n./@罪過;,/n./@攻擊;,/n./@過錯;
forever ,/adv./@永遠;
goodbye ,/n./@再見;
however ,/conj.//adv./@然而;,/adv./@可是;
momento ,/n./@紀念品;
phoneme ,/n./@音位;,/n./@音素;
proceed ,/vi./@開始;,/vi./@進行;
promote ,/v./@促進;,/v./@提拔;,/v./@推銷;
propose ,/v./@提議;,/vt./@提出;,/vt./@打算;
provoke ,/v./@激怒;,/v./@驅使;,/v./@煽動;
pothole ,/n./@壺洞;,/n./@洞坑;,/n./@壺穴;
scooter ,/n./@滑板車;,/n./@小型摩托車;,/n./@踏板車;,/n./@速克達;
somehow ,/adv./@以某種方式;
trooper ,/n./@騎兵;,/n./@騎警;,/n./@傘兵;
torpedo ,/n./@魚雷;
whoever ,/pron./@無論誰;
woollen ,/adj./@羊毛的;,/adj./@毛織的;
conceal ,/v./@隱藏;
novella ,/n./@短篇小說;,/n./@中篇小說;
operand ,/n./@操作數;
soybean ,/n./@大豆;,/n./@黃豆;
overall ,/adj./@總的;,/adj./@全面的;
overlap ,/v./@重叠;,/v./@重复;
obelisk ,/n./@方尖碑;,/n./@方尖塔;,/n./@短箭號;
conceit ,/n./@自負;,/v./@狂想;
foreign ,/adj./@外國的;
forfeit ,/n./@罰金;,/n./@喪失;,/n./@被沒收物;
phoenix ,/n./@鳳凰;
protein ,/n./@蛋白質;
hopeful ,/adj./@充滿希望的;
oestrus ,/n./@發情期;,/n./@發情;
conjoin ,/v./@結合;,/v./@聯合;
foolish ,/adj./@愚蠢的;
hominin ,/n./@人科;
hominid ,/n./@原始人類;
horizon ,/n./@地平綫;,/n./@视野;
monitor ,/n./@班長;,/n./@監視器;,/v./@監視;
moronic ,/adj./@愚蠢的;
ongoing ,/adj./@正在進行的;
portion ,/n./@分配;
solicit ,/v./@征求;,/v./@招攬;
osmotic ,/adj./@渗透的;
comical ,/adj./@滑稽的;
conical ,/adj./@圓錐形的;
cordial ,/adj./@熱誠的;,/adj./@诚恳的;,/adj./@强烈的;
holiday ,/n./@假期;
logical ,/v./@邏輯的;
nominal ,/adj./@名义上的;
optical ,/adj./@光學的;,/adj./@視覺的;,/adj./@視力的;
optimal ,/adj./@最佳的;
ordinal ,/adj./@顺序的;,/adj./@依次的;,/n./@序数;
stoical ,/adj./@堅忍的;,/adj./@禁慾的;
blondie ,/n./@金髮碧眼的人;
bonfire ,/n./@篝火;,/n./@營火;
bromine ,/n./@溴;
collide ,/v./@碰撞;,/v./@衝突;,/v./@抵觸;
combine ,/v./@結合;
compile ,/v./@編譯;
confine ,/v./@限制;,/v./@禁閉;,/n./@限制;,/n./@約束;,/n./@界限;,/vt./@监禁;
conifer ,/n./@松柏;
concise ,/adj./@簡潔的;
officer ,/n./@官員;
forgive ,/v./@原諒;
offside ,/n./@越位;
godlike ,/adj./@神一般的;
hostile ,/adj./@懷敵意的;,/adj./@敵方的;
moniker ,/n./@名字;,/n./@綽號;
plosive ,/n./@爆破音;,/adj./@爆破音的;,/n./@破裂音;,/adj./@破裂音的;
pointer ,/n./@指針;
profile ,/n./@簡介;,/n./@側面;,/n./@輪廓;
promise ,/v./@承諾;,/n./@承诺;,/n./@诺言;,/vt./@许诺;
provide ,/v./@提供;
society ,/n./@社會;
soldier ,/n./@士兵;
bonjour ,/n./@你好;
borough ,/n./@區;,/n./@自治市鎭;
contour ,/n./@輪廓;,/n./@等高綫;,/n./@周綫;,/n./@概要;,/n./@外形;,/n./@形體;
octopus ,/n./@章魚;
groupon ,/n./@團購;
lockout ,/n./@封鎖;,/n./@停工;
modulus ,/n./@係數;,/n./@模數;
pompous ,/adj./@自大的;,/adj./@浮誇的;,/adj./@華而不實的;
pronoun ,/n./@代詞;
opossum ,/n./@負鼠;,/n./@裝死;
sojourn ,/n./@逗留;,/vi./@逗留;,/n./@旅居;,/vi./@旅居;
outpost ,/n./@前哨;,/n./@边远居民点;
formula ,/n./@公式;,/n./@准則;,/n./@配方;
journal ,/n./@期刊;,/n./@日誌;
modular ,/adj./@模塊化的;,/adj./@組合式的;,/adj./@模的;,/adj./@模數的;,/adj./@模件的;,/adj./@分單元的;
popular ,/adj./@流行的;,/adj./@受歡迎的;
spousal ,/adj./@配偶的;,/adj./@与配偶有关的;
ossuary ,/n./@藏屍堂;
outcast ,/n./@被逐出的人;,/n./@被拋棄的人;,/adj./@被拋棄的;,/adj./@被逐出的;
outland ,/n./@邊境地區;,/n./@邊遠地區;,/n./@外國;
outrank ,/v./@髙于;
Scouser ,/n./@利物浦人;
boulder ,/n./@巨石;,/n./@大圓石;,/n./@巨礫;
obscure ,/adj./@模糊的;,/adj./@晦暗的;
closure ,/n./@停止;
commune ,/v./@談心;,/v./@密切交流;,/n./@公社;
compute ,/v./@計算;
commute ,/vi./@通勤;,/vt./@减轻;,/n./@上下班路程;,/vt./@變換;,/vt./@改變;
confuse ,/v./@使困惑;
conjure ,/vt./@用魔法變出;,/vt./@唸咒召喚;,/vi./@施魔法;,/vi./@變魔術;,/v./@令人想起;
conquer ,/v./@攻擊;
counsel ,/v./@建議;,/v./@商討;,/v./@勸告;,/n./@顧問;,/v./@商議;
consume ,/v./@消耗;,/v./@毀滅;
counter ,/vt./@反击;,/n./@柜台;,/n./@专柜;,/n./@筹码;,/n./@计数器;
coupler ,/n./@耦合器;,/n./@连接器;,/n./@车钩;,/n./@联键音栓;
costume ,/n./@服裝;
founder ,/n./@創辦人;,/n./@奠基人;,/vi./@沉沒;,/vi./@失敗;
fortune ,/n./@命運;,/n./@運氣;,/n./@財產;
journey ,/n./@旅行;
pollute ,/v./@污染;
procure ,/v./@取得;,/v./@獲得;,/v./@導致;
produce ,/v./@生產;
profuse ,/adj./@大量的;,/adj./@極其豐富的;,/adj./@充沛的;,/adj./@過多的;
posture ,/n./@姿勢;,/n./@姿態;,/n./@儀態;,/n./@情形;,/n./@態勢;,/n./@立場;,/n./@態度;
scourge ,/v./@鞭打;,/v./@痛斥;,/n./@鞭;,/n./@災禍;
souffle ,/n./@蛋奶酥;
torture ,/v./@折磨;,/v./@拷打;,/n./@折磨;,/n./@酷刑;,/n./@拷打;
trouble ,/n./@麻煩;
voucher ,/n./@代金券;,/n./@票券;,/n./@收据;,/n./@凭证;
nourish ,/v./@滋養;
tourism ,/n./@旅游業;
quantum ,/n./@量子;
Vulgate ,/n./@拉丁文聖經;,/adj./@拉丁文聖經的;
durable ,/adj./@耐用的;,/adj./@持久的;
furnace ,/n./@熔爐;,/n./@暖氣爐;,/n./@火爐;
mundane ,/adj./@平凡的;,/adj./@世俗的;,/adj./@乏味的;
unravel ,/vt./@解開;,/vt./@澄清;
pulsate ,/vi./@搏動;,/vi./@悸動;,/vi./@脈動;,/vi./@震颤;
quarter ,/n./@四分之一;,/n./@一刻钟;,/n./@城区;,/n./@群体;,/n./@夸特;,/n./@住处;,/n./@慈悲;,/n./@方位;,/n./@船尾;,/n./@盾的四分之一;
rummage ,/vt./@搜查;,/vi./@翻找;,/n./@翻找;
surface ,/n./@表面;
surname ,/n./@名字;
vulgate ,/adj./@通行的;,/adj./@公認的;,/adj./@普通的;,/adj./@通俗的;,/adj./@口語的;
curtail ,/vt./@縮減;,/vt./@削減;,/vt./@限制;,/vt./@縮短;,/vt./@制止;,/vt./@減少;,/vt./@省略;,/vt./@剝奪;,/vt./@褫奪;
curtain ,/n./@窗簾;,/n./@幕布;
funfair ,/n./@遊樂場;
lunatic ,/adj./@瘋狂的;
qualify ,/v./@限制;,/v./@合格;,/v./@授權;
quality ,/n./@質量;
squalid ,/adj./@骯髒的;,/adj./@汙穢的;,/adj./@卑劣的;,/adj./@卑鄙的;,/adj./@惡劣的;,/adj./@醜惡的;
sustain ,/v./@維持;
buffalo ,/n./@水牛;,/n./@野牛;,/n./@兩栖坦克;
mulatto ,/n./@黑白混血兒;
culture ,/n./@文化;
nucleus ,/n./@核;,/n./@核心;,/n./@原子核;,/n./@細胞核;,/n./@彗核;,/n./@晶核;
rupture ,/vt./@破裂;,/vt./@断绝;,/n./@破裂;,/n./@断绝;
succeed ,/v./@成功;
useless ,/adj./@無用的;
supreme ,/adj./@至髙的;,/adj./@至上的;
vulture ,/n./@禿鷹;,/n./@禿鷲;,/n./@貪婪的人;
Tuesday ,/n./@星期二;
funeral ,/n./@葬禮;
nuclear ,/adj./@原子核的;,/adj./@核心的;
unleash ,/v./@解放;,/vt./@釋放;,/vt./@宣洩;
surreal ,/adj./@超現實的;,/adj./@離奇的;,/adj./@夢幻般的;,/adj./@荒诞的;
duelist ,/n./@決斗者;
numeric ,/adj./@數値的;,/adj./@數字的;,/n./@數;
utensil ,/n./@器皿;,/n./@用具;
dukedom ,/n./@公國;,/n./@公爵地位;,/n./@公爵領地;
dungeon ,/n./@地牢;
nucleon ,/n./@核子;
undergo ,/v./@經歷;,/v./@經受;
surgeon ,/n./@外科醫生;
pursuit ,/v./@追求;
thulium ,/n./@銩;
utility ,/n./@實用;,/adj./@實用的;,/n./@實用設施;,/n./@實用性;
crucial ,/v./@重要的;
musical ,/adj./@音樂的;,/n./@歌舞片;,/adj./@音樂般的;
quintal ,/n./@英擔;,/n./@公擔;
Brummie ,/n./@伯明翰方言;,/n./@伯明翰人;
Jupiter ,/n./@木星;
Luddite ,/n./@盧德分子;,/n./@強烈反對機械化或自動化的人;,/n./@反對改進工作方法的人;,/n./@反對使用新機器的人;,/n./@强烈抵制技术革新的人;,/n./@反对技术革新的人;
cubicle ,/n./@小隔間;
dubiety ,/n./@懷疑;
furtive ,/adj./@鬼鬼祟祟的;
unhinge ,/v./@(使)精神错乱;,/v./@(使)精神失常;
purview ,/n./@視野;,/n./@範圍;,/n./@眼界;
quibble ,/vi./@吹毛求疵;,/vi./@挑刺;,/vi./@抱怨;,/n./@牢骚;
quicken ,/v./@加快;
subside ,/v./@平息;,/v./@減弱;,/v./@沉澱;,/v./@坐下;
suffice ,/v./@足夠;,/v./@滿足;
sulfide ,/n./@硫化物;
surmise ,/vt./@推測;,/vt./@猜測;,/vt./@臆測;
survive ,/v./@存活;,/v./@幸存;
turbine ,/n./@渦輪機;,/n./@渦輪;
burrito ,/n./@玉米粉卷饼;
cushion ,/n./@墊子;,/n./@靠墊;,/n./@減震墊;,/n./@緩衝物;,/vt./@緩衝;
unicorn ,/n./@獨角獸;
uniform ,/n./@制服;,/adj./@全部相同的;
suction ,/n./@吸入;,/n./@吸引;,/n./@吸;,/n./@吸力;
buffoon ,/n./@醜角;,/n./@滑稽演員;
burnout ,/n./@燒壞;,/n./@燃料燒盡;,/n./@精疲力竭;,/n./@燃盡;,/n./@極度勞累;,/n./@疲勞過度;
urology ,/n./@泌尿學;,/n./@泌尿科學;
glucose ,/n./@葡萄糖;
purpose ,/n./@目的;,/n./@用途;,/n./@企圖;
sucrose ,/n./@蔗糖;
suppose ,/v./@假設;
bubonic ,/adj./@淋巴腺腫的;
purloin ,/v./@偷竊;
turmoil ,/n./@混乱;,/n./@骚乱;,/n./@动乱;,/#syn/@tumult;
