Balkan ,/adj./@巴爾幹半島的;
hither ,/adv.//adj./@這里;
kidney ,/n./@腎脏;
killer ,/n./@殺手;
kindle ,/v./@點燃;
kitten ,/n./@小貓;
lichen ,/n./@地衣;,/n./@青苔;
likely ,/adj./@有可能的;
linger ,/v./@徘徊;,/v./@逗留;,/v./@拖延;,/vi./@留存;
listen ,/vi./@聽;
little ,/adj./@小的;
litter ,/n./@垃圾;,/v./@丟@垃圾;
livery ,/n./@制服;,/n./@標誌性色彩;,/n./@公司標誌;
midget ,/n./@矮子;,/n./@侏儒;
middle ,/adj./@中間的;
mildew ,/n./@霉;,/v./@發霉;
miller ,/n./@磨坊主;
mingle ,/v./@混合;,/v./@混入;
misery ,/v./@苦難;
mister ,/n./@先生;,/n./@平民;
mitten ,/n./@連指手套;,/n./@露指手套;,/n./@拳擊手套;
nickel ,/n./@鎳幣;
incept ,/vt./@開始;
nicety ,/n./@精密;
indent ,/v./@縮行;
infect ,/v./@感染;,/v./@傳染;
ingest ,/vt./@吞嚥;,/vt./@吸收;,/vt./@攝取;
inject ,/v./@註射;
nimble ,/adj./@敏捷的;
nipple ,/n./@乳頭;
insect ,/n./@昆蟲;
insert ,/v./@插入;,/vt./@嵌入;,/n./@插入物;,/n./@鑲嵌物;
intent ,/n./@意圖;,/n./@含義;,/adj./@專心的;,/n./@故意;,/adj./@专心致志的;,/adj./@下定决心的;
intend ,/v./@打算;
intern ,/n./@實習生;
invert ,/v./@轉化;,/v./@翻轉;,/v./@倒置;
invest ,/v./@投資;
invent ,/v./@发明;,/v./@创造;
pickle ,/n./@泡菜;
pilfer ,/v./@偷竊;
pimple ,/n./@疙瘩;,/n./@丘疹;,/n./@面皰;
pricey ,/adj./@昂贵的;,/adj./@高價的;,/adj./@貴的;
pyrite ,/n./@硫化礦物;
riddle ,/n./@字謎;,/n./@謎;,/n./@謎語;
riffle ,/n./@淺灘;,/n./@急流;,/v./@翻閲;,/v./@洗牌;
scribe ,/n./@抄寫員;,/v./@寫下;,/v./@記下;,/v./@劃下;
signet ,/n./@圖章;,/n./@印章;
shield ,/n./@防護;,/n./@盾;
shriek ,/v./@尖叫;
shrine ,/n./@神殿;,/n./@聖地;,/n./@神龕;
shiver ,/v./@顫抖;
silent ,/adj./@寂靜的;
silver ,/n./@銀;,/adj./@銀的;,/adj./@銀色的;,/adj./@鍍銀的;
simple ,/adj./@簡單的;
single ,/adj./@單;
singer ,/n./@歌手;
sniper ,/n./@狙擊手;
sinner ,/n./@罪犯;
spider ,/n./@蜘蛛;
sprite ,/n./@妖精;,/n./@精靈;
stifle ,/v./@扼殺;,/v./@窒息;,/v./@藏匿;,/vt./@悶死;,/vt./@抑止;,/vt./@阻止;
sister ,/n./@姐妹;
stride ,/n./@大步;,/v./@大步走;
strike ,/v./@罷工;,/v./@襲擊;,/v./@突然想到;,/n./@袭击;,/vt./@打;
stripe ,/n./@條紋;,/n./@臂章;,/n./@军衔;,/n./@軍階條;,/n./@斑紋;,/n./@类型;
strive ,/v./@努力;,/v./@力求;
stymie ,/v./@妨礙;,/v./@阻撓;
sizzle ,/vi./@發嘶嘶聲;,/n./@嘶嘶聲;
ticket ,/n./@票;,/n./@標籤;,/n./@單;
thrice ,/adv./@三次;,/adv./@三度;,/adv./@三倍;
thrive ,/v./@興旺;,/vi./@繁榮;,/vi./@茁壯成長;,/vi./@茂盛生長;
timber ,/n./@木材;
titter ,/v./@竊笑;
trifle ,/n./@瑣事;
triple ,/adj.//pref./@三的;
trivet ,/n./@三脚铁架;,/n./@三脚台架;
wicked ,/adj./@壞的;,/adj./@不道德的;
widget ,/n./@小機械;,/n./@裝飾物;
wiggle ,/v./@擺動;,/v./@扭動;
winery ,/n./@釀酒廠;
winter ,/n./@冬;
writer ,/n./@作者;,/n./@作家;
wisely ,/adj./@明智的;
wither ,/v./@枯萎;,/vi./@衰落;
Briton ,/n./@英國人;
gibbon ,/n./@長臂猿;
micron ,/n./@微米;,/n./@百萬分之一米;
import ,/v./@輸入;,/v./@進口;
mirror ,/n./@鏡子;
inform ,/v./@通知;
pillow ,/n./@枕頭;
prison ,/n./@監獄;
pistol ,/n./@手槍;
ribbon ,/n./@帶;,/n./@緞帶;
signor ,/n./@先生;
willow ,/n./@柳樹;
window ,/n./@窗戶;
wisdom ,/n./@智慧;
circum ,/n./@環繞;,/n./@周圍;
circus ,/n./@馬戲團;
discus ,/n./@鐵餅;
fitful ,/adj./@斷續的;,/adj./@斷斷續續的;,/adj./@反覆無常的;
injury ,/n./@傷害;
insult ,/v./@侮辱;
London ,/n./@倫敦;
oblong ,/adj./@橢圓形的;,/adj./@矩形的;
brooch ,/n./@胸針;,/n./@領針;
borrow ,/v./@借;
bottom ,/n./@底部;
cohort ,/n./@隊列;,/n./@同期群;,/n./@同生群;,/n./@步兵隊;
colony ,/n./@殖民地;
common ,/adj./@共同的;,/adj./@通常的;
condom ,/n./@避孕套;
convoy ,/v./@護航;,/v./@護送;,/v./@護衛;
cordon ,/n./@警戒綫;,/n./@綬帶;,/n./@哨兵線;,/n./@封鎖線;
cosmos ,/n./@宇宙;,/n./@世界;
cotton ,/n./@棉;
doctor ,/n./@醫生;,/n./@博士;,/vt./@治療;,/vt./@修理;,/vt./@竄改;
follow ,/v./@跟隨;,/v./@按照;
gloomy ,/adj./@黑暗的;
grotto ,/n./@洞穴;,/n./@洞室;
hollow ,/adj./@空的;,/adj./@中空的;
horror ,/n./@驚駭;,/n./@恐怖;
hotdog ,/n./@熱狗;
nobody ,/pron./@沒有人;
pronto ,/adj./@立卽的;
proton ,/n./@質子;
school ,/n./@學校;
shroom ,/n./@蘑菇;
smooch ,/v./@接吻;,/v./@弄髒;
smooth ,/adj./@光滑的;,/adj./@順利的;
snooty ,/adj./@傲慢的;,/adj./@自大的;,/adj./@目中無人的;
sorrow ,/n./@悲傷;
torpor ,/n./@冷漠;
Monday ,/n./@星期一;
Thomas ,/n./@托馬斯;
broach ,/v./@鑽孔;,/vt./@引入;,/vt./@启用;
botany ,/n./@植物學;
collar ,/n./@領子;
combat ,/n./@戰斗;
coward ,/n./@懦夫;
dollar ,/n./@美元;
dorsal ,/adj./@背部的;,/adj./@背側的;
formal ,/adj./@正式的;,/adj./@正規的;
format ,/n./@格式;
global ,/adj./@全球的;
gotcha ,/n./@明白了;
mortar ,/n./@迫擊砲;,/n./@研缽;
mortal ,/adj./@凡人的;,/adj./@會死的;
normal ,/adj./@正常的;
notary ,/n./@公證人;
poplar ,/n./@白楊;
portal ,/n./@門戶;,/n./@入口;
postal ,/adj./@郵政的;
orgasm ,/n./@性髙潮;
orphan ,/n./@孤兒;
rosary ,/n./@玫瑰經;,/n./@念珠;
rotary ,/adj./@旋轉的;
slogan ,/n./@標語;
throat ,/n./@喉嚨;
toward ,/prep./@向;
Robert ,/n./@羅伯特;
object ,/n./@目標;,/v./@反對;
blonde ,/adj./@金髮碧眼的;,/adj./@白膚金髮碧眼的;,/n./@金髮碧眼的女人;
border ,/n./@邊界;
broken ,/adj./@破碎的;,/adj./@燬壞的;
bronze ,/n./@青銅;,/adj./@青銅製的;,/adj./@青銅色的;,/adj./@古銅色的;
browse ,/v./@瀏覽;
obsess ,/v./@迷住;,/v./@迷戀;,/v./@著迷;
bother ,/v./@打擾;
bottle ,/n./@瓶子;
cogent ,/adj./@令人信服的;,/adj./@相關的;
chosen ,/v./@選擇;
comedy ,/n./@喜劇;
compel ,/v./@強迫;
confer ,/v./@授予;
convex ,/adj./@凸面的;
convey ,/v./@傳達;
copper ,/n./@銅;,/vt./@鍍銅於;
corner ,/n./@角落;
corpse ,/n./@屍體;
cortex ,/n./@皮质;,/n./@皮层;,/n./@树皮;,/n./@果皮;
covert ,/n./@隱藏處;,/adj./@隱蔽的;,/adj./@隱秘的;
donkey ,/n./@驴;,/n./@笨蛋;
folder ,/n./@文件夾;
flower ,/n./@花;
foment ,/v./@煽動;,/v./@助長;,/v./@挑起;
offend ,/vt./@冒犯;
forget ,/v./@忘記;
former ,/adj./@以前的;
forest ,/n./@森林;
foster ,/v./@養育;,/v./@撫養;
goblet ,/n./@酒杯;,/n./@髙腳杯;
goggle ,/vi./@瞪大眼睛看;,/vi./眼珠@轉動;
golden ,/adj./@金色的;,/adj./@金的;
grocer ,/n./@雜貨店;
hobble ,/v./@蹣跚;,/v./@跛行;
hockey ,/n./@曲棍球;,/n./@冰球;
homely ,/adj./@家常的;,/adj./@简朴的;
honest ,/adj./@誠實的;
hopper ,/n./@漏斗;,/n./@跳蟲;
hornet ,/n./@大黃蜂;
hostel ,/n./@招待所;
jostle ,/v./@推擠;
kosher ,/adj./@符合猶太教規的;,/adj./@合法的;,/adj./@合適的;,/adj./@潔食的;
lonely ,/adj./@孤獨的;,/adj./@寂寞的;
lovely ,/adj./@可愛的;
modest ,/adj./@謙虛的;,/adj./@質樸的;
molten ,/adj./@熔化的;
monkey ,/n./@猴子;
moment ,/n./@時刻;
mother ,/n./@母親;
pocket ,/n./@口袋;
ponder ,/v./@考慮;
popper ,/n./@爆竹;,/n./@炮手;,/n./@爆玉米花機;
proper ,/adj./@適合的;,/adj./@專有的;,/adj./@特有的;,/adj./@恰當的;,/adj./@完全的;,/adj./@正當的;,/adj./@得體的;,/adj./@本身的;,/adj./@自身的;,/adj./@正式的;
propel ,/v./@推進;,/v./@推動;,/vt./@驱使;
poetry ,/n./@詩歌;
powder ,/n./@粉末;,/n./@火藥;
robber ,/n./@強盜;
rocket ,/n./@火箭;
roller ,/n./@滾筒;
roster ,/n./@花名册;,/n./@登记表;
orrery ,/n./@太陽系儀;
socket ,/n./@插座;
soccer ,/n./@足球;
shovel ,/n./@鏟子;
shower ,/n./@淋浴;,/n./@陣雨;
solder ,/vt./@焊接;,/n./@焊錫;
solemn ,/adj./@莊嚴的;
sombre ,/adj./@灰暗的;,/adj./@昏暗的;,/adj./@沮丧的;,/adj./@严峻的;,/adj./@沉重的;
sonnet ,/n./@十四行詩;
sponge ,/n./@海綿;
stoned ,/v./@擲石頭;,/adj./@去核的;,/adj./@醉酒的;
stroke ,/n./@中風;,/v./@擊;,/v./@敲;,/v./@撫摸;,/n./@壁畫;,/v./@劃槳;
storey ,/n./@樓層;
toggle ,/n./@開關;,/n./@觸發器;,/n./@拴扣;,/n./@套索釘;,/v./@拴牢;,/v./@係緊;
throne ,/n./@王座;,/n./@寶座;,/n./@王權;
others ,/pron./@其他人;
topple ,/v./@推倒;,/v./@顛覆;,/vi./@倒下;
vortex ,/n./@渦流;,/n./@漩渦;,/n./@中心;,/n./@旋風;
wonder ,/v./@好奇;
worker ,/n./@工人;,/n./@員工;
oyster ,/n./@牡蠣;,/n./@蠔;
Nordic ,/adj./@北歐人的;,/adj./@斯堪的納維亞人的;,/adj./@斯堪的納維亞的;,/n./@北歐人;,/n./@斯堪的納維亞人;
boring ,/adj./@無聊的;
coffin ,/n./@棺材;
comics ,/n./@漫畫;,/n./@連環畫;
commit ,/v./@認@罪;
comity ,/n./@友好;,/n./@和諧;
cosmic ,/adj./@宇宙的;
oddity ,/n./@古怪;,/n./@奇特;,/n./@怪事;,/n./@怪人;
forbid ,/v./ @禁止;
fossil ,/n./@化石;,/adj./@化石的;,/adj./@成化石的;,/n./@老頑固;,/n./@頑固不化的人;,/adj./@守舊的;
goblin ,/n./@妖精;
gothic ,/adj./@哥特的;
modify ,/v./@修正;,/v./@修飾;
morbid ,/adj./@病態的;,/adj./@消極的;,/adj./@恐怖的;
notify ,/v./@通知;
policy ,/n./@政策;
polish ,/v./@擦亮;,/v./@磨光;,/v./@潤色;
profit ,/n./@利潤;,/v./@獲利;
orchid ,/n./@蘭花;,/n./@淡紫色;,/adj./@淡紫色的;
rhotic ,/adj./@發R音的;,/adj./@R發音的;
sordid ,/adj./@骯髒的;,/adj./@卑鄙的;,/adj./@暗淡的;
tropic ,/n./@回歸線;
bought ,/v./@買;
chorus ,/n./@合唱曲;
column ,/n./@列;,/n./@圓柱;,/n./@栏;
concur ,/v./@同意;,/v./@一致;
county ,/n./@縣;,/n./@郡;
occupy ,/v./@佔用;,/v./@佔據;,/v./@佔領;,/v./@擔任;
crouch ,/v./@蹲;,/v./@蜷伏;
corpus ,/n./@語料庫;,/n./@文集;,/n./@本金;
dorsum ,/n./@背;,/n./@背部;,/n./@背面;
ground ,/n./@場地;,/n./@地面;,/n./@理由;,/n./@根據;
jocund ,/adj./@歡樂的;,/adj./@高興的;,/adj./@快活的;
mouldy ,/n./@魚雷;,/adj./@發霉的;
nought ,/n./@零;
plough ,/n./@犁;,/vt./@犁;,/vi./@犁地;
possum ,/n./@負鼠;,/v./@裝傻;
robust ,/adj./@健壯的;,/adj./@強壯的;
should ,/aux./@應該;
shroud ,/v./@覆蓋;,/v./@遮蔽;,/n./@覆蓋物;,/n./@壽衣;,/n./@裹尸布;
slouch ,/vi./@低头垂肩地坐着;,/vi./@无精打采地站着;
though ,/conj./@雖然;
trough ,/n./@水槽;,/n./@槽;,/n./@波谷;,/n./@低谷;
yogurt ,/n./@酸奶;
luxury ,/n./@奢侈;,/n./@奢侈品;
murmur ,/v./@低聲說;
unsung ,/adj./@未唱的;,/adj./@埋沒的;
suburb ,/n./@郊區;
sulfur ,/n./@硫磺;,/n./@硫;
sputum ,/n./@痰;
tumult ,/n./@混乱;,/n./@骚乱;,/n./@喧闹;,/n./@喧哗;,/#syn/@turmoil;
Sunday ,/n./@星期天;
brutal ,/adj./@殘忍的;,/adj./@野蠻的;
fungal ,/adj./@眞菌的;
frugal ,/adj./@節儉的;,/adj./@樸素的;
guffaw ,/v./@哄笑;
lunacy ,/n./@精神失常;,/n./@愚蠢;
mutant ,/n./@突變體;,/adj./@突變的;
unwrap ,/v./@打開;,/v./@拆開;,/v./@解開;
plural ,/adj./@複數的;,/n./@複數;
uptalk ,/n./@用升調講話;
upward ,/adv./@向上;,/adj./@向上的;
quartz ,/n./@石英;
quarry ,/n./@採石場;,/vt./@採得;,/vi./@採石;
subway ,/n./@地鐵;
squash ,/v./@鎮壓;,/vt./@壓扁;,/vt./@壓碎;,/vt./@擠壓;,/n./@擁擠;,/n./@果汁飲料;,/n./@软式壁球;,/n./@壓碎的一攤;
squall ,/v./@嚎啕;,/v./@尖叫;
squawk ,/v./@抗議;,/v./@訴苦;
vulgar ,/adj./@粗俗的;,/n./@平民;,/adj./@粗魯的;,/adj./@通俗的;,/adj./@大眾的;,/adj./@庶民的;,/adj./@下流的;,/adj./@鄉土語的;
buckle ,/n./@帶釦;,/n./@搭釦;,/vt./@扣上;,/vt./@扣住;
bucket ,/n./@桶;
budget ,/n./@預算;
buffer ,/n./@緩衝器;,/n./@減震器;,/n./@緩衝物;,/n./@緩衝存儲器;,/n./@緩衝區;
buffet ,/n./@自助餐;
bubble ,/n./@氣泡;,/n./@泡泡;
bullet ,/n./@子彈;
bumper ,/n./@保险杠;,/adj./@丰收的;,/adj./@特大的;
bundle ,/n./@捆;
bunker ,/n./@掩體;,/n./@地堡;,/n./@沙坑;
burden ,/n./@重負;
bushel ,/n./@蒲式耳;,/n./@一蒲式耳的容器;,/n./@八加侖的量;
butler ,/n./@男管家;,/n./@僕役長;
butter ,/n./@黃油;
cuddle ,/v./@擁抱;
cussed ,/adj./@固執的;
duffel ,/n./@起绒粗呢;
duress ,/n./@強迫;,/n./@監禁;,/n./@脅迫;
duster ,/n./@抹布;,/n./@防塵外衣;
fluent ,/adj./@流暢的;
funnel ,/n./@漏斗;,/n./@煙囪;
gurgle ,/n./@咯咯聲;
hubble ,/n./@小瘤;,/n./@小凸起;
huddle ,/v./@蜷縮;
humble ,/adj./@謙卑的;
hunger ,/n./@饑餓;
judder ,/v./@顫抖;,/n./@顫抖;
jungle ,/n./@叢林;,/n./@密林;
lumber ,/v./@伐木;,/n./@木材;
mumble ,/v./@咕噥;
muffle ,/v./@蒙住;
murder ,/v./@謀殺;
muscle ,/n./@肌肉;
mutter ,/v./@咕噥;
unless ,/prep./@除非;
number ,/n./@數字;,/n./@號碼;,/n./@若干;
plunge ,/v./@猛投;,/v./@猛跌;,/v./@猛衝;
pummel ,/v./@擊打;
purple ,/adj./@紫色的;,/n./@紫色;
puzzle ,/v./@使困惑;,/n./@謎;
quench ,/v./@熄滅;
rubber ,/n./@橡膠;,/n./@橡皮;
rubble ,/n./@碎石;,/n./@碎磚;
rudder ,/n./@舵;
ruffle ,/v./@弄皺;,/v./@惹怒;,/v./@擾亂;
urgent ,/adj./@緊迫的;,/adj./@緊急的;
rumble ,/n./@隆隆聲;,/v./@隆隆響;,/n./@咕噥;,/vi./@嘟囔;
subtle ,/adj./@微妙的;
suffer ,/v./@遭受;
sludge ,/n./@淤泥;,/n./@烂泥;,/n./@油泥;
sullen ,/adj./@阴沉的;,/adj./@郁郁寡欢的;,/adj./@闷闷不乐的;
smudge ,/v./@弄髒;,/n./@汙點;,/n./@汙跡;
summer ,/n./@夏;
sunder ,/v./@切開;,/v./@切斷;,/v./@分離;
superb ,/adj./@極好的;,/adj./@一流的;,/adj./@華麗的;
survey ,/v./@調查;,/n./@調查;,/n./@概論;,/n./@概觀;,/n./@測量;,/n./@勘測;,/vt./@概括論述;,/vt./@測量;,/vt./@勘測;,/vt./@測繪;,/vt./@檢視;,/n./@俯瞰;,/vt./@俯瞰;,/n./@檢視;,/n./@測繪;
tumble ,/v./@跌倒;,/v./@摔跤;,/v./@打滾;
tunnel ,/n./@隧道;
turret ,/n./@炮塔;,/n./@角樓;,/n./@小塔;
turtle ,/n./@海龜;
during ,/v./@在@(...)期間;
guilty ,/adj./@有罪的;,/adj./@內疚的;
hubris ,/n./@傲慢;,/n./@驕傲;
luring ,/adj./@吸引人的;
nudity ,/n./@裸體;,/n./@裸露;
public ,/adj./@公開的;
punish ,/v./@懲罰;
purify ,/v./@净化;,/v./@純化;
putrid ,/adj./@腐臭的;,/adj./@腐爛的;
uppity ,/adj./@傲慢的;,/adj./@自負的;,/adj./@自大的;
rustic ,/adj./@鄉下的;,/adj./@鄉村式的;,/adj./@質樸的;,/adj./@土氣的;
submit ,/v./@遞交;
suffix ,/n./@后綴;
squint ,/v./@斜視;
squirm ,/vi./@蠕動;,/vi./@扭動;,/vi./@局促;,/vi./@扭捏;
squirt ,/v./@噴射;
stupid ,/adj./@笨的;
turnip ,/n./@蘿蔔;,/n./@蕪菁甘藍;,/n./@大頭菜;
button ,/n./@按鈕;,/n./@紐扣;
custom ,/n./@風俗;,/n./@習慣;
furrow ,/n./@沟;,/n./@深痕;,/n./@皱纹;,/vt./@犁;
unclog ,/vt./@疏通;
unfold ,/v./@打開;,/v./@展開;
unhold ,/v./@釋放;
unlock ,/v./@解鎖;,/v./@開啓;
unroll ,/vt./@展開;,/vt./@鋪開;,/vt./@展現;
uphold ,/v./@維護;,/v./@支撑;,/v./@贊成;
summon ,/v./@召喚;,/v./@召集;
utmost ,/adj./@極度的;,/n./@極限;
