April ,/n./@四月;
boost ,/v./@提髙;
booth ,/n./@貨攤;,/n./@電話亭;
colon ,/n./@冒號;,/n./@結腸;,/n./@科隆;
color ,/redirected./@target="colour";
crook ,/n./@骗子;,/n./@弯曲;,/n./@弯处;,/n./@坏蛋;,/v./@彎曲;,/n./@鉤;,/n./@曲柄杖;
donor ,/n./@捐贈者;,/adj./@捐獻的;
drool ,/n./@口水;,/vi./@流口水;
flood ,/n./@洪水;
floor ,/n./@樓層;,/n./@地板;
fordo ,/v./@燬滅;
goods ,/n./@商品;,/n./@貨物;
goofy ,/adj./@愚蠢的;,/adj./@愚笨的;,/adj./@滑稽的;,/adj./@古怪的;
gloom ,/n./@昏暗;,/n./@憂郁;
groom ,/n./@新郎;,/vt./@刷洗;,/vt./@打扮;,/vt./@梳洗;,/n./@馬伕;,/vt./@照料;,/vt./@準備;,/vt./@培訓;,/vt./@培養;
honor ,/n./@榮譽;,/n./@名譽;,/n./@光榮;,/n./@敬意;,/n./@榮幸;
ology ,/n./@學問;,/n./@學科;
moron ,/n./@傻子;,/n./@笨蛋;
motto ,/n./@座右銘;,/n./@格言;,/n./@訓言;
proof ,/n./@證據;
porno ,/n./@色情;
proto ,/redirected./@target="proto-";
robot ,/n./@機器人;
rotor ,/n./@轉子;,/n./@轉片;
scoop ,/v./@掘;,/v./@舀取;,/n./@勺子;,/n./@鏟子;
shoot ,/v./@拍攝;,/v./@射擊;
spoof ,/v./@哄騙;
spook ,/n./@鬼;,/v./@驚嚇;
spoon ,/n./@湯匙;
stood ,/v./@站;
sooth ,/adj./@眞實的;
stool ,/n./@凳子;,/v./@引誘;
stoop ,/v./@彎腰;
swoon ,/v./@昏暈;
swoop ,/v./@猛撲;,/v./@俯衝;,/v./@襲擊;
tooth ,/n./@牙;
troop ,/n./@軍隊;
torso ,/n./@軀幹;,/n./@軀幹雕像;
whoop ,/v./@大叫;
woozy ,/adj./@虛弱的;,/adj./@微醉的;
Roman ,/n./@羅馬人;
Xhosa ,/n./@科薩人;,/n./@科薩語;
board ,/n./@板;
broad ,/adj./@寬的;,/adj./@寬闊的;,/adj./@廣闊的;,/adj./@遼闊的;
boast ,/v./@自誇;
coach ,/n./@教練;,/n./@長途公共汽車;,/v./@訓練;,/v./@培訓;,/v./@輔導;,/n./@火车车厢;
cloak ,/n./@斗篷;
comma ,/n./@逗號;,/n./@停頓;
conga ,/n./@康茄舞;
croak ,/v./@呱呱叫;,/vi./@咽气;
coral ,/n./@珊瑚;
coast ,/n./@海岸;
octal ,/adj./@八進制的;
dogma ,/n./@教條;,/n./@教理;
float ,/v./@漂浮;
foray ,/n./@涉足;
gloat ,/v./@幸災樂禍;
gonna ,/aux./@會;
groan ,/v./@呻吟;,/n./@呻吟聲;
hoard ,/vt./@貯藏;,/vt./@聚藏;
kodak ,/n./@柯達;
local ,/adj./@當地的;
loyal ,/adj./@忠誠的;
modal ,/adj./@模式的;,/adj./@情態的;,/adj./@形式的;,/adj./@形態上的;
moral ,/adj./@道德的;,/n./@教訓;
nomad ,/n./@流浪者;,/n./@游牧者;
poach ,/vt./@偷獵;,/vt./@偷捕;
polar ,/adj./@極的;
organ ,/n./@器官;,/n./@風琴;,/n./@機構;
roast ,/v./@烤;,/adj./@烤的;
royal ,/adj./@皇家的;,/adj./@王室的;
solar ,/adj./@太陽的;
today ,/n./@今天;,/n./@今日;
total ,/adj./@總的;
toast ,/n./@土司;
vocal ,/adj./@嗓音的;,/adj./@聲音的;,/adj./@元音的;,/adj./@聲樂的;,/adj./@濁音的;
vodka ,/n./@伏特加酒;
woman ,/n./@女人;
Rolex ,/n./@勞力士;
bloke ,/n./@傢夥;
boner ,/n./@大錯;
bored ,/adj./@無聊的;
broke ,/adj./@被破壞的;
bowel ,/n./@腸;,/n./@內部;,/n./@深處;
choke ,/v./@噎;
ochre ,/n./@赭石;,/adj./@赭石色的;,/n./@赭石色;
clone ,/v./@無性繁殖;
close ,/v./@關閉;,/v./@結束;
comet ,/n./@彗星;
cover ,/n./@封面;,/v./@覆蓋;
covet ,/vt./@贪求;
cower ,/v./@退縮;,/v./@膽怯;,/v./@畏縮;
dodge ,/v./@躲閃;,/v./@躲避;,/vt./@閃避;
drone ,/n./@無人機;,/n./@雄蜂;
offer ,/v./@提供;
force ,/n./@力;
forge ,/v./@鍛造;,/v./@僞造;,/n./@鍛冶場;,/n./@鐵工廠;
forex ,/n./@外匯;,/n./@外匯交易市場;
often ,/adv./@經常;
foyer ,/n./@門廳;
globe ,/n./@地球;,/n./@球體;
glove ,/n./@手套;
gnome ,/n./@格言;
gorge ,/n./@峽谷;,/n./@咽喉;
honey ,/n./@蜂蜜;
horde ,/n./@大羣;,/n./@羣;,/n./@遊牧部落;
horse ,/n./@馬;
hover ,/v./@盤旋;,/v./@翺翔;,/v./@徘徊;
joker ,/n./@愛開玩笑的人;
lodge ,/n./@旅館;,/n./@門房;,/v./@提出;,/v./@寄存;,/v./@寄宿;
lover ,/n./@情人;
lower ,/v./@放下;,/adj./@較低的;
model ,/n./@模型;,/v./@模仿;
money ,/n./@錢;
motel ,/n./@汽車旅館;
moved ,/adj./@感動的;,/adj./@被移動的;
noble ,/adj./@髙貴的;,/n./@貴族;
onset ,/n./@開始;,/n./@着手;,/n./@發作;,/n./@攻擊;
novel ,/adj./@新穎的;
nowel ,/n./@阻力;
phone ,/n./@電話;
poker ,/n./@撲克;
probe ,/v./@探測;,/n./@探針;,/vt./@刺探;
prone ,/adj./@俯伏的;
prose ,/n./@散文;
prove ,/v./@證明;,/v./@證實;
power ,/n./@能量;,/n./@力;,/n./@權力;
order ,/n./@順序;,/v./@命令;,/n./@組織;
sober ,/adj./@清醒的;
scone ,/n./@烤鬆餅;,/n./@司康;
scope ,/n./@範圍;,/n./@余地;,/n./@機會;
score ,/n./@得分;,/n./@成績;,/v./@得分;
shore ,/n./@岸;,/n./@濱;
shove ,/v./@推擠;
slope ,/n./@斜坡;,/n./@山坡;,/n./@倾斜;,/vi./@倾斜;
solve ,/v./@解決;
smoke ,/n./@煙;,/v./@冒煙;,/v./@抽@煙;
sonde ,/n./@探空火箭;,/n./@探空氣球;,/n./@地下探测仪;,/n./@水下探测仪;
stone ,/n./@石頭;
store ,/n./@商店;,/v./@貯藏;,/v./@儲備;
stove ,/n./@爐子;,/n./@火爐;
other ,/adj./@其它的;
those ,/pron./@那些;
token ,/n./@象徴;,/n./@代幣;,/n./@記號;,/n./@紀念章;,/n./@表徴;
totem ,/n./@圖騰;
trope ,/n./@轉義;,/n./@比喻;,/n./@隱喻;,/n./@寓意;,/n./@說法;,/n./@修辭;,/n./@基調;,/n./@橋段;
towel ,/n./@毛巾;
tower ,/n./@塔;
overt ,/adj./@明顯的;
voter ,/n./@投票人;,/n./@選舉人;
vowel ,/n./@元音;,/n./@元音字母;
whole ,/adj./@整;
whore ,/n./@妓女;,/n./@娼妓;,/v./@賣淫;
whose ,/wh.//pron./@誰的;
women ,/n./@女人;
owner ,/n./@所有者;,/n./@持有者;
worse ,/adj./@更差的;,/adj./@更壞的;
yodel ,/v./@用真假嗓音互換地唱;
Stoic ,/adj./@斯多葛學派的;,/n./@斯多葛學派哲學家;
comic ,/adj./@滑稽的;
doing ,/v./正在@做;,/v./@做;
hoist ,/vt./@舉起;,/vt./@升起;,/vt./@吊起;,/vt./@提起;
hyoid ,/n./@舌骨;,/adj./@舌骨的;
joint ,/adj./@共同;
logic ,/n./@邏輯;
login ,/v./@登錄;,/v./@注冊;,/n./@登錄;
moist ,/adj./@潮濕的;
motif ,/n./@主題;,/n./@基調;,/n./@主旨;,/n./@基本圖案;
point ,/v./@指出;
posit ,/vt./@假設;,/vt./@假定;
orbit ,/n./@軌道;,/n./@運行軌道;,/n./@勢力範圍;,/n./@眼窩;,/vt./@環繞;,/vi./@繞軌道運行;
solid ,/n./@固體;
sonic ,/adj./@聲音的;,/adj./@聲波的;,/adj./@音速的;,/adj./@聲速的;
spoil ,/v./@毀掉;,/v./@溺愛;
stoic ,/redirected./@target="stoical";,/n./@禁慾主義者;,/redirected./@target="Stoic";
topic ,/n./@主題;
toxic ,/adj./@有毒的;
vomit ,/vt./@嘔吐;,/v./@吐出;
bough ,/n./@大樹枝;,/n./@粗樹枝;
bound ,/vt./@束縛;,/n./@跳躍;,/n./@界限;
bonus ,/n./@獎金;,/n./@紅利;,/n./@津貼;
cough ,/v./@咳嗽;,/n./@咳嗽;
couch ,/n./@躺椅;,/n./@長沙發;
cloud ,/n./@雲;
could ,/aux./<can的過去式>@能;
clout ,/n./@權力;,/n./@势力;,/n./@影响力;,/n./@重击;,/vt./@重击;
count ,/v./@數;,/v.//n./@計算;
occur ,/vi./@发生;
court ,/n./@法庭;
doubt ,/v./@懷疑;
dough ,/n./@麵團;,/n./@錢;
donut ,/n./@甜甜圈;
focus ,/v./@关註;
found ,/v./@創辦;,/v./@建立;
forum ,/n./@論壇;,/n./@討論會;,/n./@法庭;
ought ,/v./@應該;
gourd ,/n./@葫蘆;
group ,/n./@組;,/n./@團體;,/n./@集團;
hokum ,/n./@噱頭;,/n./@胡言;,/n./@胡扯;
hound ,/v./@追獵;,/v./@煩擾;
joust ,/n./@競技;,/n./@廝打;
locus ,/n./@位置;
lousy ,/adj./@討厭的;,/adj./@污穢的;,/adj./@糟糕的;,/adj./@滿是蝨子的;,/adj./@噁心的;
mogul ,/n./@大亨;,/n./@巨头;,/n./@显要人物;
mould ,/n./@霉菌;,/n./@模具;,/n./@型;,/v./@發霉;,/v./@澆鑄;
mound ,/n./@堆;,/v./@堆起;
mourn ,/v./@哀嚎;
mouth ,/n./@口;
pound ,/n./@磅;,/n./@英鎊;,/vt./@搗碎;,/vt./@猛擊;,/vt./@敲打;,/n./@16盎司的量;
proud ,/adj./@驕傲的;
rough ,/adj./@粗糙的;
round ,/v./@圓的;,/prep./@附近;
scour ,/v./@沖刷;,/v./@擦;
scout ,/vt./@偵察;,/vt./@搜索;,/n./@斥候;,/n./@偵察員;,/n./@偵察兵;,/n./@偵察;
shout ,/v./@叫喊;
sound ,/n./@聲音;
spout ,/v./@噴射;,/n./@噴口;,/v./@噴出;
touch ,/v./@觸摸;
tough ,/adj./@艱難的;
trout ,/n./@鱒魚;,/n./@鮭魚;,/n./@鱒魚肉;,/n./@鮭魚肉;,/n./@老傢伙;
vouch ,/vt./@担保;,/vt./@保证;,/vt./@证明;
would ,/aux./<will的過去式>@會;
wound ,/v./@使受傷;,/n./@傷口;
young ,/adj./@年輕的;
yours ,/pron./@你的;
youth ,/n./@青春;
humus ,/n./@腐殖質;
usurp ,/v./@篡奪;
burka ,/n./@布爾卡;,/n./@伊斯蘭婦女穿的長袍;
culpa ,/n./@疏忽;,/n./@罪;
gulag ,/n./@集中營;
guard ,/v./@守衛;
human ,/n./@人類;,/adj./@人類的;
lunar ,/adj./@月亮的;,/adj./@陰歷的;
ultra ,/adj./@極端的;,/adj./@過分的;
mural ,/n./@壁画;,/adj./@牆壁的;
unary ,/adj./@一元的;
qualm ,/n./@疑虑;,/n./@不安;
quart ,/n./@夸脫;,/n./@2品脫的量;,/n./@四分之一加侖;
urban ,/adj./@城市的;
rural ,/adj./@鄉村的;
sugar ,/n./@糖;
sputa ,/redirected./@target="sputum";
squat ,/v./@蹲;
budge ,/vi./@挪動;,/vi./@讓步;
bulge ,/n./@腫脹;,/n./@凸塊;
brute ,/n./@畜生;,/n./@獸;,/adj./@畜生般的;,/adj./@殘忍的;
crude ,/adj./@粗糙的;,/adj./@未加工的;,/adj./@粗略的;
cruel ,/adj./@殘酷的;
curve ,/n./@曲綫;,/n./@彎曲;,/vi./@弯曲;
fudge ,/n./@軟糖;,/n./@胡説;,/n./@謊話;,/v./@捏造;,/v./@欺騙;
flute ,/n./@笛子;
glute ,/n./@臀部;
guess ,/v./@猜;,/n./@猜測;
guest ,/n./@客人;
judge ,/v./@判斷;,/n./@法官;,/v./@審判;
ulcer ,/n./@潰瘍;
lumen ,/n./@流明;
lunge ,/v./@刺;,/v./@躍進;
mutex ,/n./@互斥;,/n./@互斥體;
nudge ,/v./@推動;,/v./@輕推;,/v./@推進;,/n./@輕推;
under ,/prep./@在下方;
nurse ,/n./@護士;,/v./@看護;,/v./@護理;
plume ,/n./@羽毛;,/n./@羽飾;,/n./@羽狀物;,/n./@縷;
pulse ,/n./@脈搏;
upend ,/vt./@倒立;,/vt./@倒置;,/vt./@顛倒;
upper ,/adj./@較髙的;,/adj./@上部的;
prude ,/n./@拘守禮儀的人;
purge ,/v./@凈化;
purse ,/n./@手提袋;
upset ,/v./@攪亂;,/v./@打亂;
quell ,/v./@平息;,/v./@鎮壓;,/v./@減輕;
query ,/n./@詢問;,/v./@詢問;
quest ,/n./@追求;
ruler ,/n./@格尺;,/n./@統治者;
rules ,/n./@規則;
super ,/adj./@超級的;
surge ,/n./@大浪;,/n./@洶湧澎湃;,/v./@激增;
utter ,/vt./@发出;,/v./@表達;,/v./@发射;
Punic ,/n./@布匿人;,/adj./@布匿的;,/adj./@迦太基人的;,/adj./@迦太基的;
build ,/v./@建築;
built ,/v./@建造@<build>;
cubit ,/n./@腕尺;
fluid ,/n./@液体;,/adj./@流动的;,/adj./@流畅的;,/n./@流體;
fruit ,/n./@水果;
guild ,/n./@行會;
humid ,/adj./@湿的;,/adj./@潮濕的;
lucid ,/adj./@透明的;,/adj./@明晰的;
music ,/n./@音樂;
unify ,/v./@聯合;
until ,/conj./@直到;
unity ,/n./@團結;,/n./@一致;
pupil ,/n./@学生;,/n./@瞳孔;
quick ,/adj./@快的;
quilt ,/n./@被子;
sushi ,/n./@壽司;
squid ,/n./@鱿鱼;
Pluto ,/n./@冥王星;,/n./@冥王;
humor ,/redirected./@target="humour";
tumor ,/n./@肿瘤;
tutor ,/n./@導師;
