Kabbalah ,/n./@卡巴拉;
holistic ,/adj./@整體的;,/adj./@全盤的;
horrific ,/adj./@可怕的;
lollipop ,/n./@棒棒糖;
monolith ,/n./@巨型獨石;,/n./@獨塊巨石;,/n./@巨大建築;,/n./@權力龐大的巨型機構;,/n./@單一羣體;,/n./@龐然大物;
politics ,/n./@政治;
prohibit ,/v./@阻止;,/v./@禁止;
prolific ,/adj./@多產的;,/adj./@豐富的;
positron ,/n./@正電子;,/n./@陽電子;
optimism ,/n./@乐观;,/n./@乐观主义;
robotics ,/n./@機器人學;
solidify ,/v./@凝固;,/v./@固化;
sorority ,/n./@妇女联谊会;,/n./@女生聯誼會;
soothing ,/adj./@抚慰的;
cortical ,/adj./@皮质的;,/adj./@皮层的;
cosmical ,/adj./@宇宙的;,/adj./@廣大無邊的;
dominant ,/adj./@显性的;
dystopia ,/n./@糟糕的社會;,/n./@地獄般的處境;,/n./@反烏托邦;
hospital ,/n./@医院;
oligarch ,/n./@寡頭;,/n./@寡頭執政者;
poignant ,/adj./@酸楚的;,/adj./@辛酸的;,/adj./@悲惨的;
prodigal ,/adj./@揮霍的;
protista ,/n./@原生生物;
ordinary ,/adj./@普通的;,/adj./@平常的;
solitary ,/adj./@孤獨的;
tortilla ,/n./@墨西哥玉米薄饼;
tropical ,/adj./@熱帶的;,/adj./@炎熱潮濕的;,/adj./@轉義的;,/adj./@回歸線的;
occident ,/n./@西方;
chlorine ,/n./@氯;
compiler ,/n./@编译器;
comprise ,/v./@包含;,/vt./@包括;,/vt./@構成;
consider ,/v./@考虑;
conspire ,/vi./@密谋;,/v./@合谋;
contrite ,/adj./@後悔的;
contrive ,/v./@設計;,/v./@發明;,/v./@謀劃;
convince ,/v./@使信服;
coziness ,/n./@舒適;,/n./@安逸;,/n./@愜意;
doctrine ,/n./@教义;,/n./@学说;,/n./@信条;
frontier ,/n./@前线;
horrible ,/adj./@可怕的;
lopsided ,/adj./@歪的;
polished ,/adj./@擦亮的;,/adj./@抛光的;,/adj./@優美的;,/adj./@娴熟的;,/adj./@优雅的;,/adj./@精煉的;,/adj./@磨光的;,/adj./@有光澤的;,/adj./@老於世故的;,/adj./@圓滑的;
possible ,/adj./@可能的;
sobriety ,/n./@清醒;,/n./@冷靜;,/n./@節制;,/n./@嚴肅;
solstice ,/n./@至日;,/n./@至點;
vortices ,/n.//pl./@旋渦;,/n.//pl./@渦流;
colorful ,/adj./@多彩的;
colossus ,/n./@巨像;
compound ,/v./@合成;,/v./@混合;,/v./@和解;,/n./@化合物;,/n./@混合物;,/adj./@複合的;,/adj./@混合的;
conjuror ,/redirected./@target="conjurer";
doubtful ,/adj./@怀疑的;
doughnut ,/n./@甜甜圈;
profound ,/adj./@深远的;,/adj./@渊博的;
spoonful ,/n./@一匙的量;
outburst ,/n./@爆发;
wondrous ,/adj./@奇妙的;,/adj./@令人驚奇的;,/adj./@非常的;
youthful ,/adj./@年輕的;
boundary ,/n./@分界线;,/n./@边界;
communal ,/adj./@公用的;,/adj./@公共的;,/adj./@共有的;,/adj./@集體的;,/adj./@公社制的;
occupant ,/n./@佔有人;,/n./@居住者;,/n./@乘坐者;,/n./@占用者;,/n./@任职者;
gourmand ,/n./@美食家;
thousand ,/n./@千;
brochure ,/n./@手册;
computer ,/n./@电脑;
commuter ,/n./@通勤者;
conjurer ,/n./@巫師;
conclude ,/v./@推断;,/v./@断定;,/v./@结论;
conquest ,/n./@征服;
consumer ,/n./@消费者;
construe ,/vt./@解釋;,/vt./@分析;,/vt./@翻譯;
courtesy ,/n./@礼貌;
document ,/n./@文件;
monument ,/n./@纪念碑;
procurer ,/n./@拉皮條者;
scrounge ,/v./@搜尋;,/v./@乞討;
shoulder ,/n./@肩;
smoulder ,/vi./@陰燃;,/vi./@悶燃;
yourself ,/pron./@你自己;,/pron./@你們自己;
flourish ,/v./@茂盛;,/v./@繁荣;,/v./@兴旺;
mourning ,/n./@哀痛;
outright ,/adj./@全部的;,/adj./@徹底的;
muscular ,/adj./@肌肉的;,/adj./@肌肉发达的;
punctual ,/adj./@准时的;
pursuant ,/adj./@依據的;,/adj./@根據的;,/adj./@根隨的;,/adj./@隨後的;,/adv./@根據;,/adv./@依照;
suburban ,/adj./@郊区的;
culpable ,/adj./@有罪的;,/adj./@应受责备的;
mustache ,/n./@胡子;,/n./@髭;
purchase ,/v./@购买;
quackery ,/n./@庸医的医术;,/n./@欺骗行为;
suffrage ,/n./@选举权;,/n./@投票选举;
squander ,/v./@浪費;,/vt./@挥霍;
truncate ,/v./@截斷;,/v./@縮短;,/adj./@截斷的;
Jurassic ,/n./@侏羅紀;,/adj./@侏羅紀的;
humanism ,/n./@人道主義;
humanist ,/n./@人文主義者;,/n./@人道主義者;,/adj./@人道主義的;,/adj./@人文主義的;
humanity ,/n./@人類;,/n./@人性;
quantity ,/n./@量;
urbanity ,/n./@雅致;,/n./@都市風格;,/n./@禮貌;
unsavory ,/adj./@難喫的;,/adj./@沒有香味的;
squadron ,/n./@中隊;,/n./@分遣隊;,/n./@分隊;
brunette ,/n./@浅黑肤色的女人;
cucumber ,/n./@黄瓜;
murderer ,/n./@谋杀者;
unfetter ,/v./@釋放;,/v./@解放;,/v./@掙脫;
unsettle ,/vt./@扰乱;,/vt./@驚擾;
puncture ,/v./@刺穿;,/vt./@刺破;
prudence ,/n./@謹慎;
submerge ,/vt./@淹沒;,/vt./@湮沒;,/vt./@掩蓋;,/vt./@覆蓋;
suspense ,/n./@悬念;,/n./@焦虑;
bulkhead ,/n./@艙壁;,/n./@隔板;,/n./@隔牆;,/n./@堤岸;
lukewarm ,/adj./@微热的;,/adj./@温热的;,/adj./@不冷不热的;,/adj./@冷淡的;,/adj./@微溫的;
underway ,/adj./@正在进行的;
building ,/n./@建筑;
crucifix ,/n./@十字架;
fruitful ,/adj./@多产的;,/adj./@富有成效的;
futility ,/n./@無用;,/n./@徒勞;,/n./@無效;,/n./@無益;
humidity ,/n./@湿度;,/n./@潮湿;
humility ,/n./@謙虛;
uprising ,/n./@起义;
culinary ,/adj./@烹饪的;
ruminant ,/adj./@反芻的;,/adj./@沉思的;
survival ,/n./@幸存;,/n./@残存;,/n./@幸存者;
business ,/n./@事務;,/n./@買賣;,/n./@行業;,/n./@商業;,/n./@商號;
crucible ,/n./@坩堝;,/n./@嚴峻考驗;
flurried ,/adj./@慌張的;,/adj./@慌亂的;
multiple ,/adj./@多样的;
nutrient ,/n./@營養物;,/n./@營養成分;,/adj./@營養的;
rudiment ,/n./@雛形;,/n./@基本原理;
subtitle ,/n./@副標題;,/n./@字幕;
sulphide ,/n./@硫化物;
sunshine ,/n./@阳光;
surprise ,/n./@惊奇;,/n./@惊讶;
function ,/n./@作用;,/n./@功能;,/n./@函數;,/v./@运行;
junction ,/n./@会合处;,/n./@交叉路口;
mushroom ,/n./@蘑菇;
uncommon ,/adj./@少见的;
cupboard ,/n./@碗櫥;
customer ,/n./@用户;
turbojet ,/n./@渦輪噴氣發動機;,/n./@渦輪噴氣飛機;,/n./@渦輪噴射引擎;,/n./@渦輪噴射飛機;
subsonic ,/adj./@亞音速的;,/adj./@次音速的;
